,serum,virus,replicate,concentration,fraction infectivity,cells,,,,,,,
0,63C-day-10,pre-depletion,1,0.04,-1.27E-06,medium,,,,,,,
1,63C-day-10,pre-depletion,1,0.01,3.35E-06,medium,,,,,,,
2,63C-day-10,pre-depletion,1,0.0025,-5.63E-06,medium,,,,,,,
3,63C-day-10,pre-depletion,1,0.000625,0.001015365,medium,,,,,,,
4,63C-day-10,pre-depletion,1,0.0001563,0.130158578,medium,,,,,,,
5,63C-day-10,pre-depletion,1,3.91E-05,0.697638961,medium,,,,,,,
6,63C-day-10,pre-depletion,1,9.77E-06,0.908182152,medium,,,,,,,
7,63C-day-10,pre-depletion,1,2.44E-06,1.014446827,medium,,,,,,,
8,63C-day-10,pre-depletion,2,0.04,-5.44E-07,medium,,,,,,,
9,63C-day-10,pre-depletion,2,0.01,-2.17E-06,medium,,,,,,,
10,63C-day-10,pre-depletion,2,0.0025,-1.46E-06,medium,,,,,,,
11,63C-day-10,pre-depletion,2,0.000625,0.00011244,medium,,,,,,,
12,63C-day-10,pre-depletion,2,0.0001563,0.131521154,medium,,,,,,,
13,63C-day-10,pre-depletion,2,3.91E-05,0.667818633,medium,,,,,,,
14,63C-day-10,pre-depletion,2,9.77E-06,0.896011341,medium,,,,,,,
15,63C-day-10,pre-depletion,2,2.44E-06,0.939407648,medium,,,,,,,
16,63C-day-10,post-depletion,1,0.04,0.049634388,medium,,,,,,,
17,63C-day-10,post-depletion,1,0.01,0.163420158,medium,,,,,,,
18,63C-day-10,post-depletion,1,0.0025,0.336731564,medium,,,,,,,
19,63C-day-10,post-depletion,1,0.000625,0.735609959,medium,,,,,,,
20,63C-day-10,post-depletion,1,0.0001563,0.974402556,medium,,,,,,,
21,63C-day-10,post-depletion,1,3.91E-05,1.029970115,medium,,,,,,,
22,63C-day-10,post-depletion,1,9.77E-06,0.99720553,medium,,,,,,,
23,63C-day-10,post-depletion,1,2.44E-06,0.950022355,medium,,,,,,,
24,63C-day-10,post-depletion,2,0.04,0.051739234,medium,,,,,,,
25,63C-day-10,post-depletion,2,0.01,0.166603582,medium,,,,,,,
26,63C-day-10,post-depletion,2,0.0025,0.364857464,medium,,,,,,,
27,63C-day-10,post-depletion,2,0.000625,0.678858345,medium,,,,,,,
28,63C-day-10,post-depletion,2,0.0001563,0.919875597,medium,,,,,,,
29,63C-day-10,post-depletion,2,3.91E-05,1.008057606,medium,,,,,,,
30,63C-day-10,post-depletion,2,9.77E-06,0.955399367,medium,,,,,,,
31,63C-day-10,post-depletion,2,2.44E-06,0.98788119,medium,,,,,,,
32,64C-day-15,pre-depletion,1,0.04,-1.27E-06,medium,,,,,,,
33,64C-day-15,pre-depletion,1,0.01,1.97E-07,medium,,,,,,,
34,64C-day-15,pre-depletion,1,0.0025,0.000878023,medium,,,,,,,
35,64C-day-15,pre-depletion,1,0.000625,0.064695352,medium,,,,,,,
36,64C-day-15,pre-depletion,1,0.0001563,0.450554371,medium,,,,,,,
37,64C-day-15,pre-depletion,1,3.91E-05,0.800416294,medium,,,,,,,
38,64C-day-15,pre-depletion,1,9.77E-06,0.913091491,medium,,,,,,,
39,64C-day-15,pre-depletion,1,2.44E-06,0.88010371,medium,,,,,,,
40,64C-day-15,pre-depletion,2,0.04,-1.99E-06,medium,,,,,,,
41,64C-day-15,pre-depletion,2,0.01,-4.53E-06,medium,,,,,,,
42,64C-day-15,pre-depletion,2,0.0025,0.000353668,medium,,,,,,,
43,64C-day-15,pre-depletion,2,0.000625,0.058758326,medium,,,,,,,
44,64C-day-15,pre-depletion,2,0.0001563,0.458989241,medium,,,,,,,
45,64C-day-15,pre-depletion,2,3.91E-05,0.746012979,medium,,,,,,,
46,64C-day-15,pre-depletion,2,9.77E-06,0.861305453,medium,,,,,,,
47,64C-day-15,pre-depletion,2,2.44E-06,0.862540193,medium,,,,,,,
48,64C-day-15,post-depletion,1,0.04,0.119720535,medium,,,,,,,
49,64C-day-15,post-depletion,1,0.01,0.311908702,medium,,,,,,,
50,64C-day-15,post-depletion,1,0.0025,0.481261627,medium,,,,,,,
51,64C-day-15,post-depletion,1,0.000625,0.552178539,medium,,,,,,,
52,64C-day-15,post-depletion,1,0.0001563,0.769955015,medium,,,,,,,
53,64C-day-15,post-depletion,1,3.91E-05,0.884083136,medium,,,,,,,
54,64C-day-15,post-depletion,1,9.77E-06,0.940847808,medium,,,,,,,
55,64C-day-15,post-depletion,1,2.44E-06,0.835676494,medium,,,,,,,
56,64C-day-15,post-depletion,2,0.04,0.136386797,medium,,,,,,,
57,64C-day-15,post-depletion,2,0.01,0.293592778,medium,,,,,,,
58,64C-day-15,post-depletion,2,0.0025,0.455439885,medium,,,,,,,
59,64C-day-15,post-depletion,2,0.000625,0.54184932,medium,,,,,,,
60,64C-day-15,post-depletion,2,0.0001563,0.696738006,medium,,,,,,,
61,64C-day-15,post-depletion,2,3.91E-05,0.853853767,medium,,,,,,,
62,64C-day-15,post-depletion,2,9.77E-06,0.937538988,medium,,,,,,,
63,64C-day-15,post-depletion,2,2.44E-06,0.804759677,medium,,,,,,,
64,99C-day-27,pre-depletion,1,0.04,1.72E-05,medium,,,,,,,
65,99C-day-27,pre-depletion,1,0.01,3.72E-06,medium,,,,,,,
66,99C-day-27,pre-depletion,1,0.0025,0.000199203,medium,,,,,,,
67,99C-day-27,pre-depletion,1,0.000625,0.046379379,medium,,,,,,,
68,99C-day-27,pre-depletion,1,0.0001563,0.476495921,medium,,,,,,,
69,99C-day-27,pre-depletion,1,3.91E-05,0.848895707,medium,,,,,,,
70,99C-day-27,pre-depletion,1,9.77E-06,0.9813135,medium,,,,,,,
71,99C-day-27,pre-depletion,1,2.44E-06,0.979146191,medium,,,,,,,
72,99C-day-27,pre-depletion,2,0.04,1.06E-05,medium,,,,,,,
73,99C-day-27,pre-depletion,2,0.01,1.74E-05,medium,,,,,,,
74,99C-day-27,pre-depletion,2,0.0025,1.24E-05,medium,,,,,,,
75,99C-day-27,pre-depletion,2,0.000625,0.057727891,medium,,,,,,,
76,99C-day-27,pre-depletion,2,0.0001563,0.490833497,medium,,,,,,,
77,99C-day-27,pre-depletion,2,3.91E-05,0.837167809,medium,,,,,,,
78,99C-day-27,pre-depletion,2,9.77E-06,0.956643811,medium,,,,,,,
79,99C-day-27,pre-depletion,2,2.44E-06,0.935469857,medium,,,,,,,
80,99C-day-27,post-depletion,1,0.04,0.20161998,medium,,,,,,,
81,99C-day-27,post-depletion,1,0.01,0.405102722,medium,,,,,,,
82,99C-day-27,post-depletion,1,0.0025,0.420036119,medium,,,,,,,
83,99C-day-27,post-depletion,1,0.000625,0.496964707,medium,,,,,,,
84,99C-day-27,post-depletion,1,0.0001563,0.759346199,medium,,,,,,,
85,99C-day-27,post-depletion,1,3.91E-05,0.912603259,medium,,,,,,,
86,99C-day-27,post-depletion,1,9.77E-06,0.956216699,medium,,,,,,,
87,99C-day-27,post-depletion,1,2.44E-06,0.950884071,medium,,,,,,,
88,99C-day-27,post-depletion,2,0.04,0.231181831,medium,,,,,,,
89,99C-day-27,post-depletion,2,0.01,0.39307084,medium,,,,,,,
90,99C-day-27,post-depletion,2,0.0025,0.414406665,medium,,,,,,,
91,99C-day-27,post-depletion,2,0.000625,0.492116875,medium,,,,,,,
92,99C-day-27,post-depletion,2,0.0001563,0.772477336,medium,,,,,,,
93,99C-day-27,post-depletion,2,3.91E-05,0.93550102,medium,,,,,,,
